 * Running on http://0.0.0.0:5999/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Apr/2017 11:10:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:10:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:11:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:11:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:11:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:11:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:11:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:11:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:12:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:12:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:12:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:12:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:12:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:12:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:13:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:13:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:13:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:13:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:13:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:13:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:14:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:14:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:14:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:14:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:14:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:14:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:15:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:15:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:15:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:15:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:15:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:15:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:16:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:16:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:16:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:16:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:16:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:16:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:17:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:17:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:17:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:17:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:17:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:17:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:18:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:18:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:18:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:18:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:18:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:18:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:19:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:19:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:19:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:19:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:19:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:19:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:20:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:20:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:20:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:20:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:20:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:20:51] "GET / HTTP/1.1" 200 -
